"osm_id","name","amenity"
5948282119,"Kangemi Youth Centre","school"
5948282122,"Mwalimu Primary School","school"
5948282123,"Mwalimu Primary School","school"
5953218907,"Westlands Primary School","school"
5953218908,"St. Marks Church Nursery School","school"
6127974224,NA,NA
6127974225,NA,NA
6127974226,NA,NA
6127974227,NA,NA
6127974228,NA,NA
6127974229,NA,NA
6127974230,NA,NA
6127974231,NA,NA
6141845853,NA,NA
6141845854,NA,NA
6141845855,NA,NA
6141845856,NA,NA
6141845857,NA,NA
6141845858,NA,NA
6141845859,NA,NA
6178983021,NA,NA
7680912929,NA,NA
8204435332,NA,NA
8374482726,"Rusinga Schools","school"
8374484698,"Braeburn","school"
8374595313,"Children Angel Academy","school"
8374597804,"Favour Academy","school"
8374598875,"St. Angels Children School","school"
