"osm_id","longitude","latitude"
5333182252,36.772695,-1.2773557
5333183070,36.7737806,-1.2799686
5333209252,36.7577491,-1.2641454
5333209253,36.7586183,-1.2640477
5333209254,36.7590698,-1.2640026
5333230312,36.7739081,-1.264895
5333230313,36.77448,-1.2656488
5333230314,36.7753169,-1.2651208
5333230315,36.7754227,-1.2650495
5333230316,36.7748722,-1.2642398
5333230317,36.774813,-1.2654778
5333295388,36.7613491,-1.2820621
5333295389,36.7609937,-1.2818246
5333296837,36.7610181,-1.2814973
5334960757,36.7568491,-1.2952437
5339089383,36.754588,-1.2902438
5339089384,36.7538114,-1.2901164
5339106869,36.7705757,-1.2813645
5339117803,36.7718444,-1.2766869
5339117804,36.7720006,-1.2764181
5339117805,36.7724019,-1.2766296
5339117806,36.7722477,-1.2769182
5414280529,36.7885414,-1.2925962
5414280530,36.7886276,-1.2929777
5414280531,36.7892281,-1.2927276
5414280532,36.7890642,-1.2929226
5414280533,36.7892659,-1.2929511
5414280534,36.7892282,-1.2929487
5414280535,36.7886592,-1.2930009
5414280559,36.7888316,-1.2929443
5440491074,36.781833,-1.2925422
5440491075,36.7818642,-1.2935847
5440491076,36.7835456,-1.29357
5456668645,36.7939689,-1.2920693
5456734642,36.8058428,-1.2772584
5933721654,36.7615857,-1.2676486
5933721655,36.7614892,-1.2676357
5933721656,36.761683,-1.2677106
5933721657,36.7578672,-1.2685324
5933721658,36.757857,-1.2685194
5933721703,36.7540233,-1.2723933
5933721704,36.7540933,-1.2725517
5933721705,36.7546345,-1.2732425
5933721706,36.7545412,-1.2732442
5933721707,36.7548078,-1.2722717
5933721708,36.7567817,-1.271935
5933721709,36.7575593,-1.2707798
5933721710,36.7576633,-1.2709483
5933721713,36.7540833,-1.2724344
5933721714,36.7582787,-1.2689994
5933721718,36.758176,-1.2690934
5933721719,36.7580829,-1.2690212
5948170931,36.7517833,-1.2724963
5948174097,36.7598382,-1.2691745
5948174098,36.7624238,-1.2666655
5948174099,36.7631938,-1.2659588
5948174102,36.7584588,-1.2640126
5948174107,36.7595471,-1.2692636
5948282114,36.7526422,-1.2737347
5948282115,36.75278,-1.2737017
5948282116,36.7529541,-1.2736985
5948282117,36.7523445,-1.2737942
5948282118,36.7500902,-1.2747069
5948282119,36.7499644,-1.2746361
5948282122,36.7538008,-1.2715542
5948282123,36.7534742,-1.2717333
5953218907,36.7974043,-1.2593339
5953218908,36.7963839,-1.2605106
6127974224,36.8038154,-1.2788975
6127974225,36.8026486,-1.2795973
6127974226,36.8035766,-1.280796
6127974227,36.8050331,-1.2794606
6127974228,36.8058485,-1.2786454
6127974229,36.8044886,-1.2789028
6127974230,36.8053295,-1.2786159
6127974231,36.8060289,-1.2784349
